house_title,location,emi,price
2 BHK Flat In Srv Harsha For Sale  In Sivagamipuram 1st Street,Sivagamipuram 1st Street,"68,777/Month",12000000
3 BHK Flat In Kelvingrove For Sale  In Adyar,Adyar,"54,885/Month",9576250
1 BHK House For Sale  In Adyar,Adyar,"37,254/Month",6500000
2 BHK Flat In Ragamalika Apartments For Sale  In Adyar,Adyar,"40,120/Month",7000000
"2 BHK Flat In Kg Oakside I, Adyar For Sale  In Adyar",Adyar,"75,655/Month",13200000
4+ BHK Flat For Sale  In Adyar,Adyar,8.6 Lacs/Month,150000000
"2 BHK Flat In Rams For Sale  In Indira Nagar, Adyar","Indira Nagar, Adyar","64,192/Month",11200000
1 BHK Flat In Tnhb Flats For Sale  In Adyar,Adyar,"45,851/Month",8000000
2 BHK Flat In Ragamalika Apartments For Sale  In  Adyar, Adyar,"57,314/Month",10000000
2 BHK House For Sale  In Adyar,Adyar,"40,120/Month",7000000
"1 BHK Flat In Sivagami Flat For Sale  In Shastri Nagar, ","Shastri Nagar, ","26,937/Month",4700000
4 BHK Flat In Nahar Tower Of Adyar For Sale  In Adyar,Adyar,2.11 Lacs/Month,36900000
2 BHK Flat For Sale  In Thiruvanmiyur,Thiruvanmiyur,"51,583/Month",9000000
4 BHK House For Sale  In Adyar,Adyar,"63,045/Month",11000000
4+ BHK House For Sale  In Adyar,adyar,4.87 Lacs/Month,85000000
1 BHK Flat In Tnhb Flats  For Sale  In Adyar,Adyar,"49,863/Month",8700000
4 BHK House For Sale  In Adyar,Adyar,"42,985/Month",7500000
"3 BHK Flat In Alraza Glendale Apartment, Adyar For Sale  In Adyar",Adyar,"91,703/Month",16000000
"2 BHK Flat In Aec  For Sale  In 11, 22nd Cross St, Indira Nagar, Besant Nagar, Chennai, Tamil Nadu 600090, India","11, 22nd Cross St, Indira Nagar, Besant Nagar, Chennai, Tamil Nadu 600090, India","94,568/Month",16500000
3 BHK Flat In Rama Nivas For Sale  In Adyar,Adyar,1.41 Lacs/Month,24600000
"2 BHK Flat In Gokulam Dev Apartment For Sale  In Kasturba Nagar, Adyar","Kasturba Nagar, Adyar","63,045/Month",11000000
"3 BHK Flat In Ajab Apartments, Adyar For Sale  In Adyar",Adyar,"71,643/Month",12500000
"3 BHK Flat In Shri Nivas For Sale  In Shastri Nagar, Adyar","Shastri Nagar, Adyar",2.58 Lacs/Month,45000000
4 BHK House For Sale  In Adyar,Adyar,2.01 Lacs/Month,35000000
4 BHK House For Sale  In Adyar,Adyar,2.01 Lacs/Month,35000000
"2 BHK Flat In Dhakha Apartments, Adyar For Sale  In Adyar",Adyar,"41,266/Month",7200000
2 BHK Flat In Dev Apartment For Sale  In Adyar,Adyar,"57,314/Month",10000000
4+ BHK House For Sale  In Adyar,Adyar,3.44 Lacs/Month,60000000
2 BHK Flat In Paras For Sale  In Adyar,Adyar,"51,583/Month",9000000
2 BHK House For Sale  In Adyar,Adyar,"28,657/Month",5000000
1 BHK Flat For Sale  In Indira Nagar,Indira Nagar,"40,120/Month",7000000
4+ BHK House For Sale  In Adyar,Adyar,1.15 Lacs/Month,20000000
3 BHK Flat In Apartment  For Sale  In Adyar ,Adyar ,1.43 Lacs/Month,25000000
2 BHK For Sale  In Adayar,Adayar,"37,254/Month",6500000
"3 BHK Flat In Shastri Nagar, Adyar For Sale  In Adyar",Adyar,"96,288/Month",16800000
2 BHK House For Sale  In Padmanabha Nagar,Padmanabha Nagar,2.58 Lacs/Month,45000000
2 BHK Flat In Logu For Sale  In Adyar Shastri Nagar Welfare Association,Adyar Shastri Nagar Welfare Association,"31,522/Month",5500000
4+ BHK House For Sale  In Adyar,Adyar,3.44 Lacs/Month,60000000
