Book Name,Author Name,Volumes Sold,Publisher,Genre
"Alchemist,The:A Fable About Following Your Dream","Coelho, Paulo","956,114",HarperCollins,General & Literary Fiction
At My Mother's Knee ...:and Other Low Joints,"O'Grady, Paul","945,640",Transworld,Autobiography: The Arts
Notes from a Small Island,"Bryson, Bill","931,312",Transworld,Travel Writing
"Return of the Naked Chef,The","Oliver, Jamie","925,425",Penguin,Food & Drink: General
Bridget Jones: The Edge of Reason,"Fielding, Helen","924,695",Pan Macmillan,General & Literary Fiction
Jamie's Italy,"Oliver, Jamie","906,968",Penguin,National & Regional Cuisine
I Can Make You Thin,"McKenna, Paul","905,086",Transworld,Fitness & Diet
Down Under,"Bryson, Bill","890,847",Transworld,Travel Writing
"Summons,The","Grisham, John","869,671",Random House,"Crime, Thriller & Adventure"
Small Island,"Levy, Andrea","869,659",Headline,General & Literary Fiction
Nigella Express,"Lawson, Nigella","862,602",Random House,Food & Drink: General
Brick Lane,"Ali, Monica","856,540",Transworld,General & Literary Fiction
"Memory Keeper's Daughter,The","Edwards, Kim","845,858",Penguin,General & Literary Fiction
Room on the Broom,"Donaldson, Julia","842,535",Pan Macmillan,Picture Books
About a Boy,"Hornby, Nick","828,215",Penguin,General & Literary Fiction
My Booky Wook,"Brand, Russell","820,563",Hodder & Stoughton,Autobiography: The Arts
"God Delusion,The","Dawkins, Richard","816,907",Transworld,Popular Science
"""Beano"" Annual,The",0,"816,585",D.C. Thomson,Children's Annuals
White Teeth,"Smith, Zadie","815,586",Penguin,General & Literary Fiction
"House at Riverton,The","Morton, Kate","814,370",Pan Macmillan,General & Literary Fiction
"Book Thief,The","Zusak, Markus","809,641",Transworld,General & Literary Fiction
Nights of Rain and Stars,"Binchy, Maeve","808,900",Orion,General & Literary Fiction
"Ghost,The","Harris, Robert","807,311",Random House,General & Literary Fiction
Happy Days with the Naked Chef,"Oliver, Jamie","794,201",Penguin,Food & Drink: General
"Hunger Games,The:Hunger Games Trilogy","Collins, Suzanne","792,187",Scholastic Ltd.,Young Adult Fiction
"Lost Boy,The:A Foster Child's Search for the Love of a Family","Pelzer, Dave","791,507",Orion,Biography: General
Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours,"Oliver, Jamie","791,095",Penguin,Food & Drink: General
